,Invoice_No.,Business_Zipode,Client_Name,Client_Mail_Adrres,Client_PhoneNo,Invoice_IssueDate,Due_Date,SubTotal,Tax_per,Tota_Due
19,PL77678066447653534291577565,38556,Garry Hegmann,Garry_Hegmann59@hotm,750-257-9345,12-05-2023,16-06-2023,$37828,10,$41610.8
20,UA859908357231657281725628046,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,23-06-2023,$36349,10,$39983.9
21,IR459008121894452008730027,38556,Garry Hegmann,Garry_Hegmann59@hotm,750-257-9345,12-05-2023,26-06-2023,$9473,10,$10420.3
22,SE1605804413837873518350,38556,Garry Hegmann,Garry_Hegmann59@hotm,750-257-9345,12-05-2023,30-06-2023,$10302,10,$11332.2
23,PT50018498671400748986119,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,03-07-2023,$31558,10,$34713.8
24,CF6849796816456201375055059,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,10-07-2023,$9148,10,$10062.8
25,BA920432325129666746,38556,Jill Schowalter,Jill.Schowalter@gmail.com,222-254-5978,12-05-2023,23-06-2023,$42189,10,$46407.9
26,LC17VZPD576879350529704623681613,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,18-06-2023,$30679,10,$33746.9
27,DE86387936551412938756,38556,Don Zulauf,Don_Zulauf40@hotm,110-825-4839,12-05-2023,05-07-2023,$18382,10,$20220.2
28,BI80984267236362,38556,Don Zulauf,Don_Zulauf40@hotm,110-825-4839,12-05-2023,15-06-2023,$19206,10,$21126.6
29,SI22681963519804739,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,07-07-2023,$22940,10,$25234
30,HU74909696370147167357339840,38556,Don Zulauf,Don_Zulauf40@hotm,110-825-4839,12-05-2023,27-06-2023,$23507,10,$25857.7
31,MT10JMMO190261WIWDX4LF7SDF2KQYO,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,27-06-2023,$4198,10,$4617.8
32,BH09CIYS4LN2CAPTR4WF8O,38556,Jill Schowalter,Jill.Schowalter@gmail.com,222-254-5978,12-05-2023,24-06-2023,$27187,10,$29905.7
33,FR872290774839BQSM7IYG2JL13,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,18-06-2023,$19238,10,$21161.8
34,MR1554185689725188627992186,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,19-06-2023,$15283,10,$16811.3
35,GB36DGJW55993237750895,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,18-06-2023,$38629,10,$42491.9
36,MT80CYHE09656QS2R54YRTIVEOKVL4T,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,28-06-2023,$10933,10,$12026.3
37,MG43799913223025YHO9FCZA277,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,22-06-2023,$11024,10,$12126.4
38,PK36CC6K4954644659947898,38556,Cary Zboncak,Cary.Zboncak@gmail.com,741-215-8162,12-05-2023,19-06-2023,$4544,10,$4998.4
39,GE83LC9789411561310423,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,12-06-2023,$17271,10,$18998.1
40,QA39HMGN884U0EL22RSY34IAZ6T6W,38556,Jill Schowalter,Jill.Schowalter@gmail.com,222-254-5978,12-05-2023,15-06-2023,$30100,10,$33110
41,CY2923418932RVYFTMK4T0H70BQC,38556,Jill Schowalter,Jill.Schowalter@gmail.com,222-254-5978,12-05-2023,09-07-2023,$17211,10,$18932.1
42,CR57711197909223410839,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,15-06-2023,$13826,10,$15208.6
43,GI50QNTDH85DMA84UWNQSIG,38556,Garry Hegmann,Garry_Hegmann59@hotm,750-257-9345,12-05-2023,20-06-2023,$7925,10,$8717.5
44,FO6266975292153960,38556,Cary Zboncak,Cary.Zboncak@gmail.com,741-215-8162,12-05-2023,10-07-2023,$22157,10,$24372.7
45,TG04EM6808839862502629422968,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,14-06-2023,$22014,10,$24215.4
46,EG311713689605750227316143805,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,04-07-2023,$25360,10,$27896
47,EE533529837740994322,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,30-06-2023,$16318,10,$17949.8
48,IR532346763905720293269112,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,21-06-2023,$21230,10,$23353
49,BH62DXYU4QKQNTE8JZNQ9T,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,18-06-2023,$18185,10,$20003.5
50,TN6275297B465GI231VBGECC,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,08-07-2023,$46254,10,$50879.4
51,ME98088238807100643329,38556,Jill Schowalter,Jill.Schowalter@gmail.com,222-254-5978,12-05-2023,30-06-2023,$35706,10,$39276.6
52,IS808984758113858243536251,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,11-07-2023,$9067,10,$9973.7
53,SA9471DQ240HGM77EBE28NYK,38556,Richard Rodriguez,Richard_Rodriguez@hotm,402-261-8314,12-05-2023,16-06-2023,$21308,10,$23438.8
54,UA037218533278852191454331781,38556,Cary Zboncak,Cary.Zboncak@gmail.com,741-215-8162,12-05-2023,12-06-2023,$42526,10,$46778.6
55,AZ59DLHYBEO1IT3MJ72LGOL4JL1G,38556,Jill Schowalter,Jill.Schowalter@gmail.com,222-254-5978,12-05-2023,12-06-2023,$31349,10,$34483.9
56,CG4125256047356140683317976,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,17-06-2023,$33109,10,$36419.9
57,CR60424819916608284676,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,27-06-2023,$19012,10,$20913.2
58,BF9364716875679263891122558,38556,Cary Zboncak,Cary.Zboncak@gmail.com,741-215-8162,12-05-2023,22-06-2023,$8924,10,$9816.4
59,NI65NDII966155981059553344708700,38556,Darlene Bosco,Darlene.Bosco@gmail.com,964-775-2409,12-05-2023,16-06-2023,$11946,10,$13140.6
60,FI3625455076086321,38556,Garry Hegmann,Garry_Hegmann59@hotm,750-257-9345,12-05-2023,29-06-2023,$13065,10,$14371.5
61,TD6450872086008753274275290,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,07-07-2023,$26872,10,$29559.2
62,BH45VRKCGGS04E5OPZV07U,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,30-06-2023,$15098,10,$16607.8
63,GQ083553191771SJV5QSSSM3D54,38556,Richard Rodriguez,Richard_Rodriguez@hotm,402-261-8314,12-05-2023,05-07-2023,$27674,10,$30441.4
64,BR3803519232323247276576065W3,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,14-06-2023,$23566,10,$25922.6
65,NL67RPUC9876715202,38556,Cary Zboncak,Cary.Zboncak@gmail.com,741-215-8162,12-05-2023,15-06-2023,$27647,10,$30411.7
66,CM2965582947879253825248669,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,24-06-2023,$23001,10,$25301.1
67,MK11467CXXWJ5REOQ45,38556,Cary Zboncak,Cary.Zboncak@gmail.com,741-215-8162,12-05-2023,08-07-2023,$15852,10,$17437.2
68,DE05599409319446007186,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,06-07-2023,$10711,10,$11782.1
69,LU88437F3E6NU0JVAMNC,38556,Don Zulauf,Don_Zulauf40@hotm,110-825-4839,12-05-2023,14-06-2023,$32880,10,$36168
70,CZ3912976277760755673015,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,03-07-2023,$44503,10,$48953.3
71,IR142985960936283388216470,38556,Darlene Bosco,Darlene.Bosco@gmail.com,964-775-2409,12-05-2023,07-07-2023,$26361,10,$28997.1
72,SK0969237618987256367299,38556,Garry Hegmann,Garry_Hegmann59@hotm,750-257-9345,12-05-2023,06-07-2023,$19659,10,$21624.9
73,VA06O4W820656992124505,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,01-07-2023,$16861,10,$18547.1
74,LT402351922800419994,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,11-07-2023,$33975,10,$37372.5
75,EG050391846172550196059974631,38556,Garry Hegmann,Garry_Hegmann59@hotm,750-257-9345,12-05-2023,20-06-2023,$13621,10,$14983.1
76,CV38295350742333576611902,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,12-06-2023,$23500,10,$25850
77,KZ1265773YHN89NXI78X,38556,Richard Rodriguez,Richard_Rodriguez@hotm,402-261-8314,12-05-2023,06-07-2023,$13309,10,$14639.9
78,EG059246723727279534566806215,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,12-06-2023,$8716,10,$9587.6
79,GL8846043158973752,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,23-06-2023,$22255,10,$24480.5
80,SV02NTUF84043881431338002784,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,21-06-2023,$39640,10,$43604
81,IR221573485306805661342105,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,21-06-2023,$36291,10,$39920.1
82,HN94PHZK52468079611398617196,38556,Candace Gerhold,Candace3@yahoo.com,633-008-6596,12-05-2023,21-06-2023,$27189,10,$29907.9
83,CH3503640XOWVOKEUAFXQ,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,01-07-2023,$13506,10,$14856.6
84,XK146147219503546596,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,04-07-2023,$8023,10,$8825.3
85,PL06549514582519367096003927,38556,Garry Hegmann,Garry_Hegmann59@hotm,750-257-9345,12-05-2023,14-06-2023,$35785,10,$39363.5
86,LY13383655431376939847990,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,13-06-2023,$17991,10,$19790.1
87,HN20PHFQ75335674526196564941,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,10-07-2023,$22091,10,$24300.1
88,AZ09UNDM26BG06WQ2L4HXN3GN03P,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,02-07-2023,$3671,10,$4038.1
89,FO5835379396858343,38556,Cary Zboncak,Cary.Zboncak@gmail.com,741-215-8162,12-05-2023,22-06-2023,$49017,10,$53918.7
90,SK3067398283616501453122,38556,Don Zulauf,Don_Zulauf40@hotm,110-825-4839,12-05-2023,03-07-2023,$13882,10,$15270.2
91,JO41DLXC7278T0N8BGLP3E2N2E9QRA,38556,Garry Hegmann,Garry_Hegmann59@hotm,750-257-9345,12-05-2023,26-06-2023,$41718,10,$45889.8
92,BG82MUNG981175CXJNQF4W,38556,Richard Rodriguez,Richard_Rodriguez@hotm,402-261-8314,12-05-2023,17-06-2023,$19286,10,$21214.6
93,LC06MUMG950845915714802673973600,38556,Kerry Bergnaum,Kerry_Bergnaum@yahoo.c,189-052-5595,12-05-2023,25-06-2023,$23064,10,$25370.4
94,MA96717498474793251525053290,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,22-06-2023,$27700,10,$30470
95,AD1259598032IYRT9W2ENAEE,38556,Richard Rodriguez,Richard_Rodriguez@hotm,402-261-8314,12-05-2023,26-06-2023,$8275,10,$9102.5
96,BI82759440166167,38556,Darlene Bosco,Darlene.Bosco@gmail.com,964-775-2409,12-05-2023,06-07-2023,$26140,10,$28754
97,AL2991271759WVVHALZ3QB8SKQ77,38556,Don Zulauf,Don_Zulauf40@hotm,110-825-4839,12-05-2023,16-06-2023,$9561,10,$10517.1
98,XK944058827865015529,38556,Terri Ernser,Terri.Ernser@yahoo.com,415-897-1517,12-05-2023,07-07-2023,$8809,10,$9689.9
99,SV97IOAR56444826338915679743,38556,Willis Koelpin,Willis_Koelpin4@yahoo.co,783-402-5895,12-05-2023,24-06-2023,$19514,10,$21465.4
